 GeoAreaName, Value
Africa,4
Oceania,4
Eastern Africa,4
Southern Africa,5
Australia,5
Australia and New Zealand,5
Belize,4
Southern Asia (excluding India),4
Western Asia,4
Chile,5
World,3
Albania,3
Central America,3
Middle Africa,2
Northern America,5
Eastern Asia,5
South-Eastern Asia,4
Bahamas,4
Micronesia,3
Canada,5
Least Developed Countries (LDCs),3
Denmark,5
El Salvador,3
France,5
Sri Lanka,5
Eastern Europe,5
Cyprus,5
Benin,5
Ecuador,4
Gambia,3
Guinea,5
Iceland,5
C̫te d'Ivoire,4
Lebanon,1
Landlocked developing countries (LLDCs),2
Luxembourg,5
Malaysia,3
Guyana,2
Honduras,3
Ireland,5
Jamaica,2
Kyrgyzstan,1
Libya,2
Maldives,3
South America,4
Caribbean,3
Southern Asia,4
Austria,5
Western Africa,4
Northern Africa,3
Americas,3
Antigua and Barbuda,3
Argentina,3
Southern Europe,5
Bangladesh,3
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",4
Oman,5
Namibia,5
Netherlands,5
New Zealand,5
Belgium,5
Central and Southern Asia,3
Solomon Islands,4
Myanmar,3
Cameroon,1
Caucasus and Central Asia,2
Central Asia,2
Europe,5
Western Europe,5
Cuba,5
Czechia,5
Dominican Republic,3
Faroe Islands,5
Finland,5
Georgia,2
Mauritania,4
Europe and Northern America,5
Eastern Asia (excluding Japan),5
Ghana,4
Guatemala,4
Hungary,5
Iran (Islamic Republic of),3
Italy,5
Republic of Korea,5
Latin America and the Caribbean,3
Lithuania,5
Malawi,2
Malta,5
Mexico,4
Developing regions,4
Vanuatu,4
Melanesia,5
Polynesia,3
Bulgaria,5
Cabo Verde,4
Asia,4
Northern Europe,5
Croatia,5
Sub-Saharan Africa,4
Estonia,5
Fiji,5
Germany,5
Greece,5
Indonesia,4
Japan,5
Latvia,5
Madagascar,4
Mali,1
Nicaragua,3
Micronesia (Federated States of),4
Philippines,5
Slovakia,5
Suriname,2
Pakistan,3
Peru,3
Portugal,5
Senegal,5
Somalia,3
Spain,5
Sub-Saharan Africa (inc. Sudan),4
Northern Africa and Western Asia,3
Morocco,5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",5
Oceania (exc. Australia and New Zealand),4
Norway,4
Romania,5
Sao Tome and Principe,3
Seychelles,4
Viet Nam,4
Sudan,2
Sweden,5
Tajikistan,2
Tonga,3
Turkey,4
United Kingdom of Great Britain and Northern Ireland,5
Palau,2
Poland,5
Russian Federation,4
Slovenia,5
Small island developing States (SIDS),3
Northern Africa (exc. Sudan),3
Eastern and South-Eastern Asia,4
Thailand,5
Trinidad and Tobago,1
Burkina Faso,1
United Republic of Tanzania,5
Uruguay,5
Venezuela (Bolivarian Republic of),2